PageRank,author,title,year
4.834619486881324e-05,"IyerSrividhya,AmbroginiElena,BartellShoshana M.,HanLi,RobersonPaula K.,de CaboRafael,JilkaRobert L.,WeinsteinRobert S.,O’BrienCharles A.,ManolagasStavros C.,AlmeidaMaria",['FOXOs attenuate bone formation by suppressing Wnt signaling'],2013.0
4.834619486881324e-05,"IshiiKiyo-aki,FumotoToshio,IwaiKazuhiro,TakeshitaSunao,ItoMasako,ShimohataNobuyuki,AburataniHiroyuki,TaketaniShigeru,LelliottChristopher J,Vidal-PuigAntonio,IkedaKyoji",['Coordination of PGC-1β and iron uptake in mitochondrial biogenesis and osteoclast activation'],2009.0
4.834619486881324e-05,"IRELANDALEX,MADEN-WILKINSONTHOMAS,MCPHEEJAMIE,COOKEKARL,NARICIMARCO,DEGENSHANS,RITTWEGERJÖRN",['Upper Limb Muscle–Bone Asymmetries and Bone Adaptation in Elite Youth Tennis Players'],2013.0
4.834619486881324e-05,"IoannidisJohn PA,NgMandy Y,ShamPak C,ZintzarasElias,LewisCathryn M,DengHong-Wen,EconsMichael J,KarasikDavid,DevotoMarcella,KammererCandace M,SpectorTim,AndrewToby,CupplesL Adrienne,DuncanEmma L,ForoudTatiana,KielDouglas P,KollerDaniel,LangdahlBente,MitchellBraxton D,PeacockMunro,ReckerRobert,ShenHui,Sol-ChurchKatia,SpotilaLoretta D,UitterlindenAndre G,WilsonScott G,KungAnnie WC,RalstonStuart H",['Meta-Analysis of Genome-Wide Scans Provides Evidence for Sex- and Site-Specific Regulation of Bone Mass'],2006.0
4.834619486881324e-05,"IdanAmanda,GriffithsKaye A.,HarwoodD. Tim,SeibelMarkus J.,TurnerLeo,ConwayAnn J.,HandelsmanDavid J.","['Long-Term Effects of Dihydrotestosterone Treatment on Prostate Growth in Healthy, Middle-Aged Men Without Prostate Disease']",2010.0
4.834619486881324e-05,JacobsenSteven J.,['Association Between 5-α Reductase Inhibition and Risk of Hip Fracture'],2008.0
4.834619486881324e-05,"JilkaRobert L.,AlmeidaMaria,AmbroginiElena,HanLi,RobersonPaula K.,WeinsteinRobert S.,ManolagasStarros C.","['Decreased oxidative stress and greater bone anabolism in the aged, when compared to the young, murine skeleton with parathyroid hormone administration']",2010.0
4.834619486881324e-05,"Kamel-ElSayedSuzan A.,Tiede-LewisLeAnn M.,LuYongbo,VenoPatricia A.,DallasSarah L.",['Novel approaches for two and three dimensional multiplexed imaging of osteocytes'],2015.0
4.834619486881324e-05,"JilkaR L,TakahashiK,MunshiM,WilliamsD C,RobersonP K,ManolagasS C",['Loss of estrogen upregulates osteoblastogenesis in the murine bone marrow. Evidence for autonomy from factors released during bone resorption.'],1998.0
4.834619486881324e-05,"KennedyOran D.,HermanBrad C.,LaudierDamien M.,MajeskaRobert J.,SunHui B.,SchafflerMitchell B.",['Activation of resorption in fatigue-loaded bone involves both apoptosis and active pro-osteoclastogenic signaling by distinct osteocyte populations'],2012.0
4.834619486881324e-05,"KellyAndrea,WinerKaren K.,KalkwarfHeidi,OberfieldSharon E.,LappeJoan,GilsanzVicente,ZemelBabette S.",['Age-Based Reference Ranges for Annual Height Velocity in US Children'],2014.0
4.834619486881324e-05,"KearbeyJeffrey D.,GaoWenqing,NarayananRamesh,FisherScott J.,WuDi,MillerDuane D.,DaltonJames T.",['Selective Androgen Receptor Modulator (SARM) Treatment Prevents Bone Loss and Reduces Body Fat in Ovariectomized Rats'],2006.0
4.834619486881324e-05,"HyldstrupL.,ConwayG. S.,RaczK.,KellerA.,ChansonP.,ZacharinM.,LysgaardA. L.,AndreasenA. H.,KappelgaardA.-M.",['Growth hormone effects on cortical bone dimensions in young adults with childhood-onset growth hormone deficiency'],2011.0
4.834619486881324e-05,"KawateHisaya,WuYin,OhnakaKeizo,TakayanagiRyoichi",['Mutual transactivational repression of Runx2 and the androgen receptor by an impairment of their normal compartmentalization'],2007.0
4.834619486881324e-05,"KatulskiK.,SlawekS.,CzyzykA.,Podfigurna-StopaA.,PaczkowskaK.,IgnaszakN.,PodkowaN.,MeczekalskiB.",['Bone mineral density in women with polycystic ovary syndrome'],2014.0
4.834619486881324e-05,"JilkaRobert L,O'BrienCharles A,RobersonPaula K,BonewaldLynda F,WeinsteinRobert S,ManolagasStavros C",['Dysapoptosis of Osteoblasts and Osteocytes Increases Cancellous Bone Formation But Exaggerates Cortical Porosity With Age'],2013.0
4.834619486881324e-05,"KatavićVedran,Grc̆evićDanka,LeeSun Kyeong,KalinowskiJudith,JastrzebskiSandra,DougallWilliam,AndersonDirk,PuddingtonLynn,AguilaH.Leonardo,LorenzoJoseph A",['The surface antigen CD45R identifies a population of estrogen-regulated murine marrow cells that contain osteoclast precursors'],2003.0
4.834619486881324e-05,KarsentyGerard,['The Central Regulation of Bone Remodeling'],2000.0
4.834619486881324e-05,"KanisJ. A.,OdénA.,McCloskeyE. V.,JohanssonH.,WahlD. A.,CooperC.",['A systematic review of hip fracture incidence and probability of fracture worldwide'],2012.0
4.834619486881324e-05,"KanisJohn A,McCloskeyEugene V",['Risk factors in osteoporosis'],1998.0
4.834619486881324e-05,"KamedaTakashi,ManoHiroshi,YuasaTatsuhisa,MoriYoshihisa,MiyazawaKoshi,ShiokawaMiho,NakamaruYukiya,HiroiEmi,HiuraKenji,KamedaAkira,YangNa N.,HakedaYoshiyuki,KumegawaMasayoshi",['Estrogen Inhibits Bone Resorption by Directly Inducing Apoptosis of the Bone-resorbing Osteoclasts'],1997.0
4.834619486881324e-05,"JonesHH,PriestJD,HayesWC,TichenorCC,NagelDA",['Humeral hypertrophy in response to exercise'],1977.0
4.834619486881324e-05,"JohanssonHelena,KanisJohn A,OdénAnders,McCloskeyEugene,ChapurlatRoland D,ChristiansenClaus,CummingsSteve R,Diez-PerezAdolfo,EismanJohn A,FujiwaraSaeko,GlüerClaus-C,GoltzmanDavid,HansDidier,KhawKay-Tee,KriegMarc-Antoine,KrögerHeikki,LaCroixAndrea Z,LauEdith,LeslieWilliam D,MellströmDan,MeltonL Joseph,O'NeillTerence W,PascoJulie A,PriorJerilynn C,ReidDavid M,RivadeneiraFernando,van StaaTjerd,YoshimuraNoriko,ZillikensM Carola",['A Meta-Analysis of the Association of Fracture Risk and Body Mass Index in Women'],2013.0
4.834619486881324e-05,"KassanosD.,TrakakisE.,BaltasC. S.,PapakonstantinouO.,SimeonidisG.,SalamalekisG.,GrammatikakisI.,BasiosG.,LabosG.,SkarantavosG.,BalanikaA.",['Augmentation of cortical bone mineral density in women with polycystic ovary syndrome: a peripheral quantitative computed tomography (pQCT) study'],2010.0
4.834619486881324e-05,"HuiS L,SlemendaC W,JohnstonC C",['Age and bone mass as predictors of fracture in a prospective study.'],1988.0
4.834619486881324e-05,"HernlundE.,SvedbomA.,IvergårdM.,CompstonJ.,CooperC.,StenmarkJ.,McCloskeyE. V.,JönssonB.,KanisJ. A.","['Osteoporosis in the European Union: medical management, epidemiology and economic burden']",2013.0
4.834619486881324e-05,"HuhtaniemiIlpo T.,PyeStephen R.,LimerKate L.,ThomsonWendy,O'NeillTerence W.,PlattHazel,PayneDebbie,JohnSally L.,JiangMin,BoonenSteven,BorghsHerman,VanderschuerenDirk,AdamsJudith E.,WardKate A.,BartfaiGyörgy,CasanuevaFelipe,FinnJoseph D.,FortiGianni,GiwercmanAleksander,HanThang S.,KulaKrzysztof,LeanMichael E. J.,PendletonNeil,PunabMargus,SilmanAlan J.,WuFrederick C. W.",['Increased Estrogen Rather Than Decreased Androgen Action Is Associated with Longer Androgen Receptor CAG Repeats'],2009.0
4.834619486881324e-05,"GunnessM.,OrwollE.",['Early induction of alterations in cancellous and cortical bone histology after orchiectomy in mature rats'],2009.0
4.834619486881324e-05,"GreenspanSusan L,WagnerJulie,NelsonJoel B,PereraSubashan,BrittonCynthia,ResnickNeil M",['Vertebral fractures and trabecular microstructure in men with prostate cancer on androgen deprivation therapy'],2013.0
4.834619486881324e-05,"GreendaleGail A.,EdelsteinSharon,Barrett-ConnorElizabeth",['Endogenous Sex Steroids and Bone Mineral Density in Older Women and Men: The Rancho Bernardo Study'],1997.0
4.834619486881324e-05,"GreenbaumAdam,HsuYen-Michael S.,DayRyan B.,SchuettpelzLaura G.,ChristopherMatthew J.,BorgerdingJoshua N.,NagasawaTakashi,LinkDaniel C.",['CXCL12 in early mesenchymal progenitors is required for haematopoietic stem-cell maintenance'],2013.0
4.834619486881324e-05,"GrassiFrancesco,PiacentiniAnna,CristinoSandra,ToneguzziStefania,CavalloCarola,FacchiniAndrea,LisignoliGina",['Human osteoclasts express different CXC chemokines depending on cell culture substrate: molecular and immunocytochemical evidence of high levels of CXCL10 and CXCL12'],2003.0
4.834619486881324e-05,"GrassiFrancesco,CristinoSandra,ToneguzziStefania,PiacentiniAnna,FacchiniAndrea,LisignoliGina",['CXCL12 chemokine up-regulates bone resorption and MMP-9 release by human osteoclasts: CXCL12 levels are increased in synovial and bone tissue of rheumatoid arthritis patients'],2004.0
4.834619486881324e-05,"GovoniKristen E.,WergedalJon E.,ChadwickRobert B.,SrivastavaApurva K.,MohanSubburaman",['Prepubertal OVX increases IGF-I expression and bone accretion in C57BL/6J mice'],2008.0
4.834619486881324e-05,"GlassDonald A.,BialekPeter,AhnJong Deok,StarbuckMichael,PatelMillan S.,CleversHans,TaketoMark M.,LongFanxin,McMahonAndrew P.,LangRichard A.,KarsentyGerard",['Canonical Wnt Signaling in Differentiated Osteoblasts Controls Osteoclast Differentiation'],2005.0
4.834619486881324e-05,"Glait-SantarC.,BenayahuD.",['Regulation of SVEP1 gene expression by 17β-estradiol and TNFα in pre-osteoblastic and mammary adenocarcinoma cells'],2012.0
4.834619486881324e-05,"GiorgioMarco,TrineiMirella,MigliaccioEnrica,PelicciPier Giuseppe",['Hydrogen peroxide: a metabolic by-product or a common mediator of ageing signals?'],2007.0
4.834619486881324e-05,"GilliesGlenda E.,McArthurSimon",['Estrogen Actions in the Brain and the Basis for Differential Action in Men and Women: A Case for Sex-Specific Medicines'],2010.0
4.834619486881324e-05,"GiannoulisManthos G.,MartinFinbarr C.,NairK. Sreekumaran,UmplebyA. Margot,SonksenPeter",['Hormone Replacement Therapy and Physical Function in Healthy Older Men. Time to Talk Hormones?'],2012.0
4.834619486881324e-05,GeusensP.,['Nandrolone decanoate: Pharmacological properties and therapeutic use in osteoporosis'],1995.0
4.834619486881324e-05,"GennariLuigi,NutiRanuccio,BilezikianJohn P.",['Aromatase Activity and Bone Homeostasis in Men'],2004.0
4.834619486881324e-05,"GennariLuigi,MerlottiDaniela,MartiniGiuseppe,GonnelliStefano,FranciBeatrice,CampagnaStella,LucaniBarbara,Dal CantoNorberto,ValentiRoberto,GennariCarlo,NutiRanuccio","['Longitudinal Association between Sex Hormone Levels, Bone Loss, and Bone Turnover in Elderly Men']",2003.0
4.834619486881324e-05,"GENNARICARLO,AGNUSDEIDONATO,NARDIPAOLO,CIVITELLIROBERTO","['Estrogen Preserves a Normal Intestinal Responsiveness to 1,25-Dihydroxyvitamin D<sub>3</sub>in Oophorectomized Women*']",1990.0
4.834619486881324e-05,"GarrettI R,BoyceB F,OreffoR O,BonewaldL,PoserJ,MundyG R",['Oxygen-derived free radicals stimulate osteoclastic bone resorption in rodent bone in vitro and in vivo.'],1990.0
4.834619486881324e-05,"GarneroPatrick,Sornay-RenduElisabeth,DelmasPierre D",['Low serum IGF-1 and occurrence of osteoporotic fractures in postmenopausal women'],2000.0
4.834619486881324e-05,"GarciaAlejandro J,TomColton,GuemesMiriam,PolancoGloria,MayorgaMaria E,WendKorinna,Miranda-CarboniGustavo A,KrumSusan A",['ERα signaling regulates MMP3 expression to induce FasL cleavage and osteoclast apoptosis'],2013.0
4.834619486881324e-05,"GaoWenqing,ReiserPeter J.,CossChristopher C.,PhelpsMitch A.,KearbeyJeffrey D.,MillerDuane D.,DaltonJames T.",['Selective Androgen Receptor Modulator Treatment Improves Muscle Strength and Body Composition and Prevents Bone Loss in Orchidectomized Rats'],2005.0
4.834619486881324e-05,"GalienR.,GarciaT.",['Estrogen receptor impairs interleukin-6 expression by preventing protein binding on the NF-\xa0B site'],1997.0
4.834619486881324e-05,"GaleaGabriel L.,MeakinLee B.,SugiyamaToshihiro,ZebdaNoureddine,SuntersAndrew,TaipaleenmakiHanna,SteinGary S.,van WijnenAndre J.,LanyonLance E.,PriceJoanna S.","['Estrogen Receptor α Mediates Proliferation of Osteoblastic Cells Stimulated by Estrogen and Mechanical Strain, but Their Acute Down-regulation of the Wnt Antagonist Sost Is Mediated by Estrogen Receptor β']",2013.0
4.834619486881324e-05,"GabelLeigh,NettlefoldLindsay,BrasherPenelope M,MooreSarah A,AhamedYasmin,MacdonaldHeather M,McKayHeather A",['Reexamining the Surfaces of Bone in Boys and Girls During Adolescent Growth: A 12-Year Mixed Longitudinal pQCT Study'],2015.0
4.834619486881324e-05,"GustafssonAnders,LindenforsPatrik",['Human size evolution: no evolutionary allometric relationship between male and female stature'],2004.0
4.834619486881324e-05,"HuhtaniemiIlpo T,TajarAbdelouahid,LeeDavid M,O'NeillTerence W,FinnJoseph D,BartfaiGyörgy,BoonenSteven,CasanuevaFelipe F,GiwercmanAleksander,HanThang S,KulaKrzysztof,LabrieFernand,LeanMichael E J,PendletonNeil,PunabMargus,SilmanAlan J,VanderschuerenDirk,FortiGianni,WuFrederick C W,__",['Comparison of serum testosterone and estradiol measurements in 3174 European men using platform immunoassay and mass spectrometry; relevance for the diagnostics in aging men'],2012.0
4.834619486881324e-05,"HaHyunil,Bok KwakHan,Woong LeeSoo,Mi JinHye,KimHyun-Man,KimHong-Hee,Hee LeeZang",['Reactive oxygen species mediate RANK signaling in osteoclasts'],2004.0
4.834619486881324e-05,"HaginoHiroshi,RaabDiane M.,KimmelDonald B.,AkhterMohammed P.,ReckerRobert R.",['Effect of ovariectomy on bone response to in vivo external loading'],2009.0
4.834619486881324e-05,"HughesDavis E.,DaiAihua,TiffeeJohn C.,LiHe Hiu,MundyGregory R.,BoyceBrendan F.",['Estrogen promotes apoptosis of murine osteoclasts mediated by TGF–β'],1996.0
4.834619486881324e-05,"HuangGrace,BasariaShehzad,TravisonThomas G.,HoMatthew H.,DavdaMaithili,MazerNorman A.,MiciekRenee,KnappPhilip E.,ZhangAnqi,CollinsLauren,UrsinoMonica,ApplemanErica,DzekovConnie,StrohHelene,OuelletteMiranda,RundellTyler,BabyMerilyn,BhatiaNarender N.,KhorramOmid,FriedmanTheodore,StorerThomas W.,BhasinShalender",['Testosterone dose-response relationships in hysterectomized women with or without oophorectomy'],2014.0
4.834619486881324e-05,"HsuBenjumin,CummingRobert G,SeibelMarkus J,NaganathanVasi,BlythFiona M,BleicherKerrin,DaveAneesh,Le CouteurDavid G,WaiteLouise M,HandelsmanDavid J",['Reproductive Hormones and Longitudinal Change in Bone Mineral Density and Incident Fracture Risk in Older Men: The Concord Health and Aging in Men Project'],2015.0
4.834619486881324e-05,"HorowitzMark C.,FretzJackie A.,LorenzoJoseph A.",['How B cells influence bone biology in health and disease'],2010.0
4.834619486881324e-05,"HofbauerLorenz C.,TenRosa M.,KhoslaSundeep",['The Anti-Androgen Hydroxyflutamide and Androgens Inhibit Interleukin-6 Production by an Androgen-Responsive Human Osteoblastic Cell Line'],1999.0
4.834619486881324e-05,"HofbauerLC,HicokKC,ChenD,KhoslaS",['Regulation of osteoprotegerin production by androgens and anti-androgens in human osteoblastic lineage cells'],2002.0
4.834619486881324e-05,"HeroMatti,WickmanSanna,DunkelLeo",['Treatment with the aromatase inhibitor letrozole during adolescence increases near-final height in boys with constitutional delay of puberty'],2006.0
4.834619486881324e-05,"HenryYvette M.,FatayerjiDiana,EastellRichard","['Attainment of peak bone mass at the lumbar spine, femoral neck and radius in men and women: relative contributions of bone size and volumetric bone mineral density']",2004.0
4.834619486881324e-05,"HenryY. M.,EastellR.",['Ethnic and Gender Differences in Bone Mineral Density and Bone Turnover in Young Adults: Effect of Bone Size'],2000.0
4.834619486881324e-05,"HenningPetra,OhlssonClaes,EngdahlCecilia,FarmanHelen,WindahlSara H.,CarlstenHans,LagerquistMarie K.",['The effect of estrogen on bone requires ERα in nonhematopoietic cells but is enhanced by ERα in hematopoietic cells'],2014.0
4.834619486881324e-05,"HelsenChristine,KerkhofsStefanie,ClinckemalieLiesbeth,SpansLien,LaurentMichaël,BoonenSteven,VanderschuerenDirk,ClaessensFrank",['Structural basis for nuclear hormone receptor DNA binding'],2012.0
4.834619486881324e-05,HeaneyRobert P,['Is the paradigm shifting?'],2003.0
4.834619486881324e-05,"HeQing,KarlbergJohan","['BMI in Childhood and Its Association with Height Gain, Timing of Puberty, and Final Height']",2001.0
4.834619486881324e-05,"HawseJohn R.,SubramaniamMalayannan,MonroeDavid G.,HemmingsenAmanda H.,IngleJames N.,KhoslaSundeep,OurslerMerry Jo,SpelsbergThomas C.",['Estrogen Receptor β Isoform-Specific Induction of Transforming Growth Factor β-Inducible Early Gene-1 in Human Osteoblast Cells: An Essential Role for the Activation Function 1 Domain'],2008.0
4.834619486881324e-05,"HasslerNorbert,RoschgerAndreas,GamsjaegerSonja,KramerIna,LuegerSonja,van LieropAntoon,RoschgerPaul,KlaushoferKlaus,PaschalisEleftherios P,KneisselMichaela,PapapoulosSocrates",['Sclerostin Deficiency Is Linked to Altered Bone Composition'],2014.0
4.834619486881324e-05,HarrisHeather A.,['Estrogen Receptor-β: Recent Lessons from in Vivo Studies'],2007.0
4.834619486881324e-05,"HarringtonWilliam R.,KimSung Hoon,FunkCory C.,Madak-ErdoganZeynep,SchiffRachel,KatzenellenbogenJohn A.,KatzenellenbogenBenita S.","['Estrogen Dendrimer Conjugates that Preferentially Activate Extranuclear, Nongenomic Versus Genomic Pathways of Estrogen Action']",2006.0
4.834619486881324e-05,HarmanD.,['Aging: A Theory Based on Free Radical and Radiation Chemistry'],1956.0
